Course_ID,Course_Name_ES,Course_Name_EN,Program_Track,Course_Category,Short_Description,Target_Audience,Prerequisites_Description,Minimum_Age,Required_Education_Level,Total_Contact_Hours,Duration_Days,Duration_Calendar_Span,Schedule_Format,Delivery_Mode,Language_of_Instruction,Materials_Included,Assessment_Method,Passing_Score,Max_Participants_Per_Class,Min_Participants_To_Run,What_They_Get,Price_Per_Person_MXN,Compliance_Flags
GP008,Primeros Auxilios en el Deporte,First Aid in Sports,Capacitación Externa (Población General),General Public,Este curso está diseñado para capacitar a personas no profesionales de la salud que participan en deportes como entrenadores o…,Personas que necesitan tener conocimientos para atender urgencias en el deporte,"No, es completamente abierto a cualquier público",15,Sin requisitos específicos,8,1,1 día,1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Manual digital y material para prácticas,No hay evaluación,No aplica,20 (grupos más grandes bajo solicitud),5,Constancia de Cruz Roja Mexicana,1100,shared_objectives:GP001
HP001,Accesos Intraóseos,Intraosseous Access,Capacitación Profesional en Salud,Health Professionals Continuing Skill-Development,"Revisión de la destreza de acceso intraóseo para la atención de pacientes críticos, con aplicación a nivel hospitalario y…",Profesionales de la salud,Estudiante o profesional del área de la salud,18,Sin requisitos específicos,6,1,1 día,1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Manual digital,No hay evaluación,No aplica,18,8,Constancia de Cruz Roja Mexicana,650,
HP002,Atención al Parto Eutócico,Eutocic (Normal) Childbirth Care,Capacitación Profesional en Salud,Health Professionals Continuing Skill-Development,"Fortalecer las competencias del personal prehospitalario para la atención segura, oportuna y humanizada del parto eutócico…",Profesionales de la salud,Estudiante o profesional del área de la salud,18,Sin requisitos específicos,6,1,1 día,1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Manual digital,No hay evaluación,No aplica,18,8,Constancia de Cruz Roja Mexicana,1000,
HP003,Atención Integral del Paciente Neurocrítico,Comprehensive Care of the Neurocritical Patient,Capacitación Profesional en Salud,Health Professionals Continuing Skill-Development,Curso para integrar escalas de valoración de gravedad y diagnósticas que permitan reconocer y tratar las alteraciones…,Profesionales de la salud,Estudiante o profesional del área de la salud,18,Sin requisitos específicos,16,1,1 día,1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Manual digital,No hay evaluación,No aplica,18,8,Constancia de Cruz Roja Mexicana,800,
HP004,Primeros Auxilios para Mascotas,Pet First Aid,Capacitación Profesional en Salud,Health Professionals Continuing Skill-Development,"Identificar, comprender y aplicar técnicas básicas de primeros auxilios para mascotas, actuando de manera segura y responsable…",Profesionales de la salud,Estudiante o profesional del área de la salud,18,Sin requisitos específicos,8,1,1 día,1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Manual digital,No hay evaluación,No aplica,18,8,Constancia de Cruz Roja Mexicana,1350,
HP005,Atención Integral del Paciente Quemado,Comprehensive Care of the Burn Patient,Capacitación Profesional en Salud,Health Professionals Continuing Skill-Development,Curso que brinda los fundamentos basados en la mejor evidencia clínica disponible para el tratamiento de pacientes quemados…,Profesionales de la salud,Estudiante o profesional del área de la salud,18,Sin requisitos específicos,10,1,1 día,1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Manual digital,No hay evaluación,No aplica,18,8,Constancia de Cruz Roja Mexicana,850,
HP006,Ecografía Prehospitalaria,Prehospital Ultrasound,Capacitación Profesional en Salud,Health Professionals Continuing Skill-Development,Curso que forma a los profesionales de la salud en la ejecución autónoma de evaluaciones ecográficas en pacientes…,Profesionales de la salud,Estudiante o profesional del área de la salud,18,Sin requisitos específicos,12,1,1 día,1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Manual digital,No hay evaluación,No aplica,18,8,Constancia de Cruz Roja Mexicana,1100,
HP007,Electrocardiografía Básica,Basic Electrocardiography,Capacitación Profesional en Salud,Health Professionals Continuing Skill-Development,Curso que acerca al profesional de la salud a una revisión inicial del funcionamiento e importancia de la interpretación…,Profesionales de la salud,Estudiante o profesional del área de la salud,18,Sin requisitos específicos,8,1,1 día,1 sesión,Presencial o en línea,"Español, inglés bajo solicitud de servicio",Manual digital,No hay evaluación,No aplica,18,8,Constancia de Cruz Roja Mexicana,650,
HP008,Electrocardiografía Avanzada,Advanced Electrocardiography,Capacitación Profesional en Salud,Health Professionals Continuing Skill-Development,Principios y conocimientos de la interpretación del electrocardiograma de 12 derivaciones en el ámbito de urgencias…,Profesionales de la salud,Estudiante o profesional del área de la salud,18,Sin requisitos específicos,14,1,1 día,1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Manual digital,No hay evaluación,No aplica,18,8,Constancia de Cruz Roja Mexicana,750,
HP009,Terapia Intravenosa (Fluidoterapia Básica),Intravenous Therapy (Basic Fluid Therapy),Capacitación Profesional en Salud,Health Professionals Continuing Skill-Development,Curso para aplicar de manera segura y eficaz las técnicas avanzadas de acceso venoso y administración de soluciones…,Profesionales de la salud,Estudiante o profesional del área de la salud,18,Sin requisitos específicos,6,1,1 día,1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Manual digital,No hay evaluación,No aplica,18,8,Constancia de Cruz Roja Mexicana,650,
